Version,Entry.number,Entry.status,Device_Type.name,Device_Model.manufacturer_identifier,Device_Model.model_identifier,Device_Model.hardware_version.version,Device_Model.hardware_version.revision,Device_Model.model_identifier_concatenated_with_hardware_version,Device_Model.firmware_version,SMETS_CHTS Version.Version_number_and_effective_date,GBCS Version.version_number,Manufacturer_Image.hash
Version 2.051 Issued on 21-09-2022,000034,Current,Gas Smart Meter,106C,10F1,01,FF,10F101FF,00075100,SMETS V2.0 ,GBCS Version 1.0 ,008450C87F6A6250C9272C7CE3D8250DF323CA6379398B932004173DC9FCFFB5
Version 2.051 Issued on 21-09-2022,000035,Current,Single Element Electricity Metering Equipment,106C,10E1,01,FF,10E101FF,00075100,SMETS V2.0 ,GBCS Version 1.0 ,866499856881E4A3D9BA4624AC615604BB48E475524ADAFC23E53DB814EC9C08
Version 2.051 Issued on 21-09-2022,000036,Removed,Pre-Payment Interface Device,1128,1003,01,02,10030102,80070000,SMETS V2.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000037,Removed,Gas Smart Meter,1063,4772,01,01,47720101,03030239,SMETS V2.0 ,GBCS Version 1.0 ,6D896C2C96CF733F1B0E3A51A39697F7E4F3BEFACE0DDA37EA64E8AB3E4404E9
Version 2.051 Issued on 21-09-2022,000038,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24020300,SMETS V2.0 ,GBCS Version 1.0 ,B5933CC4F3317A143659AB6663CFA4E433A80802ADC1FA9E18EE02AADD1751D5
Version 2.051 Issued on 21-09-2022,000039,Current,Pre-Payment Interface Device,10E0,0005,01,00,00050100,00070200,SMETS V2.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000040,Current,Communications Hub,106C,4331,00,AC,433100AC,125083AE,CHTS V1.0 ,GBCS Version 1.0 ,1E39751CAF2A59E823D65CA8128A8C8737DDF0A39844E908E2939DC0309BAD83
Version 2.051 Issued on 21-09-2022,000041,Current,Pre-Payment Interface Device,1090,0007,01,00,00070100,01000000,SMETS V2.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000042,Current,Gas Smart Meter,106C,10F1,01,FF,10F101FF,01000000,SMETS V2.0 ,GBCS Version 1.0 ,D8580DF05BA5D6B80327446065F4A487730229E0EBB7B17572F83A21890B3F39
Version 2.051 Issued on 21-09-2022,000043,Current,Single Element Electricity Metering Equipment,106C,10E1,01,FF,10E101FF,01000000,SMETS V2.0 ,GBCS Version 1.0 ,02AC30A45ABA2E1C276DBC44E6838F603C9ECAC3ECF1535FA6C85043FC8FA14C
Version 2.051 Issued on 21-09-2022,000044,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00040104,SMETS V2.0 ,GBCS Version 1.0 ,BBADE1962A9EA401D81E857EA4F8E551C80FF3B717920F9539E47410D7E95CA4
Version 2.051 Issued on 21-09-2022,000045,Current,Gas Smart Meter,106C,10F1,01,FF,10F101FF,01000100,SMETS V2.0 ,GBCS Version 1.0 ,1A7CEEB26E76E08FC792D855F289BC2A8BF5108B8395BDBD360ABDF878E9D999
Version 2.051 Issued on 21-09-2022,000046,Current,Single Element Electricity Metering Equipment,106C,10E1,01,FF,10E101FF,01000100,SMETS V2.0 ,GBCS Version 1.0 ,B2409715F6D565D3BDE73CAE71D1539222131F3FD5BC890DD06D77255EC5F147
Version 2.051 Issued on 21-09-2022,000047,Current,Single Element Electricity Metering Equipment,106C,10E1,01,FF,10E101FF,01001100,SMETS V2.0 ,GBCS Version 1.0 ,6C791B76806571D0EA631BFDD364366AEF25FAA6079B11D7E62C662F5F6E28F6
Version 2.051 Issued on 21-09-2022,000048,Current,Pre-Payment Interface Device,10E0,0005,01,00,00050100,00070300,SMETS V2.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000049,Current,Pre-Payment Interface Device,1090,0006,02,00,00060200,30910900,SMETS V2.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000050,Current,Pre-Payment Interface Device,1128,0003,01,02,00030102,80070000,SMETS V2.0 ,GBCS Version 1.0 ,
